date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-08-20,GO,Taquaral de Goiás,city,268,8,False,3521,5221007,7611.47401,0.0299
2021-08-20,GO,Teresina de Goiás,city,215,1,False,3498,5221080,6146.36935,0.0047
2021-08-20,GO,Terezópolis de Goiás,city,1151,27,False,8186,5221197,14060.59125,0.0235
2021-08-20,GO,Três Ranchos,city,242,12,False,2830,5221304,8551.23675,0.0496
2021-08-20,GO,Trindade,city,13336,456,False,129823,5221403,10272.44787,0.0342
2021-08-20,GO,Trombas,city,444,8,False,3498,5221452,12692.96741,0.018
2021-08-20,GO,Turvânia,city,685,25,False,4564,5221502,15008.76424,0.0365
2021-08-20,GO,Turvelândia,city,900,16,False,5365,5221551,16775.39609,0.0178
2021-08-20,GO,Uirapuru,city,238,9,False,2840,5221577,8380.28169,0.0378
2021-08-20,GO,Uruaçu,city,5739,139,False,40840,5221601,14052.39961,0.0242
2021-08-20,GO,Uruana,city,1735,38,False,13818,5221700,12556.08626,0.0219
2021-08-20,GO,Urutaí,city,242,6,False,3066,5221809,7893.02022,0.0248
2021-08-20,GO,Valparaíso de Goiás,city,13315,366,False,172135,5221858,7735.20783,0.0275
2021-08-20,GO,Varjão,city,571,14,False,3838,5221908,14877.54039,0.0245
2021-08-20,GO,Vianópolis,city,913,33,False,13977,5222005,6532.15998,0.0361
2021-08-20,GO,Vicentinópolis,city,1368,23,False,8873,5222054,15417.55889,0.0168
2021-08-20,GO,Vila Boa,city,197,4,False,6312,5222203,3121.03929,0.0203
2021-08-20,GO,Vila Propício,city,391,7,False,5882,5222302,6647.39884,0.0179
